DESIGN,CELL,LOGIC-TYPE,PATH-OCURENCE,PATHS-OCURENCE,FA-IN,FA-OUT,LOGIC-LEVEL,DEEP,LOADED-CELLS,DIF-ARRIVAL,CELL-AREA,COST-AREA,POWER
c432,_090_,INV,0,0,1,3,1,13,71,0.0,0.798,0.26600000000000534,5.85e-05
c432,_091_,INV,0,0,1,3,1,13,71,0.0,0.798,0.26600000000000534,5.85e-05
c432,_092_,OAI22,0,0,4,1,2,12,70,0.0,2.394,1.0640000000000072,5.89e-05
c432,_093_,INV,0,0,1,3,1,13,71,0.0,0.798,0.26600000000000534,5.85e-05
c432,_094_,INV,0,0,1,3,1,13,71,0.0,0.798,0.26600000000000534,5.85e-05
c432,_095_,OAI22,0,0,4,1,2,12,70,0.0,2.394,1.0640000000000072,5.89e-05
c432,_096_,INV,0,0,1,3,1,13,71,0.0,0.798,0.26600000000000534,5.85e-05
c432,_097_,INV,0,0,1,3,1,13,71,0.0,0.798,0.26600000000000534,5.85e-05
c432,_098_,OAI22,0,0,4,1,2,12,70,0.0,2.394,1.0640000000000072,5.89e-05
c432,_099_,INV,0,0,1,3,1,13,71,0.0,0.798,0.26600000000000534,5.85e-05
c432,_100_,INV,1,7,1,3,1,13,71,0.0021442857142855987,0.798,0.26600000000000534,5.85e-05
c432,_101_,OAI22,1,7,4,1,2,12,70,-0.002734285714285911,2.394,1.0640000000000072,5.89e-05
c432,_102_,NOR4,1,7,4,10,3,11,69,0.08100571428571435,2.394,1.0640000000000072,5.92e-05
c432,_103_,INV,0,0,1,2,1,12,70,0.0,0.798,0.26600000000000534,5.85e-05
c432,_104_,NAND2,0,0,2,9,2,11,66,0.0,1.33,0.5319999999999965,5.87e-05
c432,_105_,AND2,0,1,2,1,4,2,1,-0.007177142857142993,1.33,0.26600000000000534,5.88e-05
c432,_106_,INV,0,1,1,0,5,1,0,-0.0006714285714286561,0.798,0.26600000000001955,5.86e-05
c432,_107_,INV,0,0,1,1,1,11,47,-1.0000000000176534e-05,0.798,0.26600000000001955,5.85e-05
c432,_108_,AOI21,0,0,3,2,4,10,46,-0.016157142857143092,1.862,0.7980000000000018,5.9e-05
c432,_109_,INV,0,0,1,1,1,11,47,0.0,0.798,0.26599999999999113,5.85e-05
c432,_110_,AOI21,0,0,3,2,4,10,46,-0.016157142857143092,1.862,0.7979999999999734,5.9e-05
c432,_112_,INV,0,0,1,1,1,11,47,0.0,0.798,0.26599999999999113,5.85e-05
c432,_113_,AOI21,0,0,3,2,4,10,46,-0.016157142857143092,1.862,0.7979999999999734,5.9e-05
