DESIGN,CELL,LOGIC-TYPE,PATH-OCURENCE,PATHS-OCURENCE,FA-IN,FA-OUT,LOGIC-LEVEL,DEEP,LOADED-CELLS,DIF-ARRIVAL,CELL-AREA,COST-AREA,POWER
c1355,_143_,XNOR2,0,0,2,1,1,9,86,0.0,2.66,1.063999999999993,0.000421
c1355,_144_,XNOR2,0,0,2,1,1,9,86,0.0,2.66,1.063999999999993,0.000421
c1355,_145_,XNOR2,0,0,2,2,2,8,85,0.0,2.66,1.063999999999993,0.000422
c1355,_146_,NAND2,0,0,2,1,1,8,78,0.0,1.33,0.5320000000000107,0.00042
c1355,_147_,XNOR2,0,0,2,1,3,7,77,0.0,2.66,1.063999999999993,0.000422
c1355,_148_,XNOR2,0,0,2,1,1,9,86,0.0,2.66,1.063999999999993,0.000421
c1355,_149_,XNOR2,0,0,2,1,1,9,86,0.0,2.66,1.063999999999993,0.000421
c1355,_150_,XNOR2,0,0,2,2,2,8,85,0.0,2.66,1.063999999999993,0.000422
c1355,_151_,XNOR2,0,0,2,1,1,9,79,0.0,2.66,1.063999999999993,0.000421
c1355,_152_,XNOR2,0,0,2,1,1,9,79,0.0,2.66,1.063999999999993,0.000421
c1355,_153_,XNOR2,0,0,2,1,2,8,78,0.0,2.66,1.063999999999993,0.000422
c1355,_154_,XNOR2,0,0,2,1,3,7,77,0.0,2.66,1.063999999999993,0.000423
c1355,_155_,XNOR2,0,0,2,6,4,6,76,0.0,2.66,1.063999999999993,0.000425
c1355,_156_,NAND2,0,0,2,1,1,9,80,0.0,1.33,0.5320000000000107,0.00042
c1355,_157_,XOR2,0,0,2,1,1,9,80,0.0,2.394,0.7980000000000018,0.000421
c1355,_158_,XNOR2,0,0,2,1,2,8,79,0.0,2.66,1.063999999999993,0.000421
c1355,_159_,XNOR2,0,0,2,1,1,8,79,0.0,2.66,1.063999999999993,0.000421
c1355,_160_,XNOR2,0,0,2,1,3,7,78,0.0,2.66,1.063999999999993,0.000422
c1355,_161_,XNOR2,0,0,2,1,1,9,86,0.0,2.66,1.063999999999993,0.000421
c1355,_162_,XNOR2,0,0,2,1,1,9,86,0.0,2.66,1.063999999999993,0.000421
c1355,_163_,XNOR2,0,0,2,2,2,8,85,0.0,2.66,1.063999999999993,0.000422
c1355,_164_,XNOR2,0,0,2,1,1,9,86,0.0,2.66,1.063999999999993,0.000421
c1355,_165_,XNOR2,0,0,2,1,1,9,86,0.0,2.66,1.063999999999993,0.000421
c1355,_166_,XNOR2,0,0,2,2,2,8,85,0.0,2.66,1.063999999999993,0.000422
c1355,_167_,XOR2,0,0,2,1,3,7,78,1.5625000000518696e-06,2.394,0.7980000000000018,0.000423
c1355,_168_,XNOR2,0,0,2,7,4,6,77,1.093750000003002e-05,2.66,1.063999999999993,0.000424
c1355,_169_,NAND2,0,0,2,1,1,9,80,0.0,1.33,0.5320000000000107,0.00042
c1355,_170_,XOR2,0,0,2,1,1,9,80,0.0,2.394,0.7980000000000018,0.000421
c1355,_171_,XNOR2,0,0,2,1,2,8,79,0.0,2.66,1.063999999999993,0.000421
c1355,_172_,XNOR2,0,0,2,1,1,8,79,-0.0005140624999999,2.66,1.063999999999993,0.000421
c1355,_173_,XNOR2,0,0,2,1,3,7,78,0.0,2.66,1.063999999999993,0.000422
c1355,_174_,XNOR2,0,0,2,1,1,9,86,0.0,2.66,1.063999999999993,0.000421
c1355,_175_,XNOR2,0,0,2,1,1,9,86,0.0,2.66,1.063999999999993,0.000421
c1355,_176_,XNOR2,0,0,2,2,2,8,85,0.0002234374999999,2.66,1.063999999999993,0.000422
c1355,_177_,XNOR2,0,0,2,1,1,9,86,0.0,2.66,1.063999999999993,0.000421
c1355,_178_,XNOR2,1,16,2,1,1,9,86,0.00117,2.66,1.063999999999993,0.000421
c1355,_179_,XNOR2,1,16,2,2,2,8,85,0.0005465625,2.66,1.063999999999993,0.000422
c1355,_180_,XOR2,1,16,2,1,3,7,78,-0.0024121875,2.394,0.7980000000000018,0.000423
c1355,_181_,XNOR2,1,16,2,7,4,6,77,0.0038390624999999,2.66,1.063999999999993,0.000424
c1355,_182_,INV,1,16,1,4,5,5,56,0.0009553125,0.798,0.2659999999999911,0.000423
c1355,_183_,NOR2,0,0,2,1,6,4,9,-0.002550625,1.33,0.5320000000000107,0.000424
c1355,_184_,NAND2,0,0,2,1,1,9,78,0.0,1.33,0.5320000000000107,0.00042
c1355,_185_,XOR2,0,0,2,1,1,9,78,0.0,2.394,0.7980000000000018,0.000421
c1355,_186_,XNOR2,0,0,2,1,2,8,77,0.0,2.66,1.063999999999993,0.000421
c1355,_187_,XNOR2,0,0,2,1,1,8,77,0.0,2.66,1.063999999999993,0.000421
c1355,_188_,XNOR2,0,0,2,1,3,7,76,0.0,2.66,1.063999999999993,0.000422
