DESIGN,CELL,LOGIC-TYPE,PATH-OCURENCE,PATHS-OCURENCE,FA-IN,FA-OUT,LOGIC-LEVEL,DEEP,LOADED-CELLS,DIF-ARRIVAL,CELL-AREA,COST-AREA,POWER
b01_C,_19_,INV,0,0,1,1,1,3,2,0.0,0.798,0.2660000000000018,1.07e-05
b01_C,_20_,NAND2,1,2,2,7,1,4,11,0.0046299999999999,1.33,0.5319999999999965,1.07e-05
b01_C,_21_,AOI21,0,0,3,1,2,3,2,-0.0021539999999999,1.862,0.7980000000000018,1.09e-05
b01_C,_22_,OAI211,0,0,4,1,3,2,1,-0.001902,2.394,1.064,1.11e-05
b01_C,_23_,INV,0,0,1,2,1,3,4,0.0,0.798,0.2659999999999982,1.07e-05
b01_C,_24_,INV,0,2,1,3,1,4,12,0.001868,0.798,0.2660000000000053,1.07e-05
b01_C,_25_,NOR3,0,1,3,1,2,1,2,0.00028,1.862,0.7980000000000018,1.09e-05
b01_C,_26_,NAND2,0,0,2,1,3,2,1,-0.0044359999999999,1.33,0.5319999999999965,1.08e-05
b01_C,_27_,OR3,0,1,3,1,2,2,1,0.000546,1.596,0.2659999999999982,1.08e-05
b01_C,_28_,NAND2,0,1,2,4,2,3,8,0.00016,1.33,0.5319999999999965,1.08e-05
b01_C,_29_,OAI211,0,0,4,1,3,2,1,-0.0014619999999999,2.394,1.064,1.1e-05
b01_C,_30_,NAND4,0,1,4,0,4,1,0,-0.0010859999999999,2.394,1.064,1.15e-05
b01_C,_31_,AOI21,0,0,3,1,3,2,1,-0.00239,1.862,0.7979999999999947,1.1e-05
b01_C,_32_,NOR2,0,1,2,3,1,4,5,0.000228,1.33,0.5319999999999965,1.07e-05
b01_C,_33_,AOI22,1,1,4,1,2,3,2,-0.002838,2.394,1.064,1.11e-05
b01_C,_34_,NAND2,0,0,2,1,1,3,2,-0.0004939999999999,1.33,0.5319999999999965,1.07e-05
b01_C,_35_,OAI22,1,1,4,1,3,2,1,-0.00418,2.394,1.064,1.13e-05
b01_C,_36_,OR2,1,1,2,0,4,1,0,0.0003279999999999,1.33,0.2659999999999982,1.12e-05
b01_C,_37_,NAND2,0,1,2,1,3,2,1,-0.0004659999999999,1.33,0.5319999999999965,1.09e-05
b01_C,_38_,XOR2,0,0,2,1,1,2,1,-0.0008979999999999,2.394,0.7979999999999947,1.12e-05
b01_C,_39_,XNOR2,0,1,2,0,4,1,0,-0.0005479999999999,2.66,1.064,1.18e-05
b01_C,_40_,NAND2,0,0,2,1,3,2,1,-0.0025959999999999,1.33,0.5319999999999965,1.1e-05
b01_C,_41_,AOI21,0,1,3,1,2,2,1,-0.003136,1.862,0.7979999999999947,1.1e-05
b01_C,_42_,MUX2,0,1,3,0,4,1,0,0.00041,2.394,0.5319999999999965,1.12e-05
b02_C,_09_,INV,0,1,1,4,1,3,6,0.0016999999999999,0.798,0.266,4.51e-06
b02_C,_10_,NOR3,0,1,3,0,2,1,0,-0.0008075,1.862,0.798,4.65e-06
b02_C,_11_,INV,1,1,1,2,1,3,5,1.7499999999989746e-05,0.798,0.266,4.51e-06
b02_C,_12_,OAI21,1,1,3,2,2,2,2,0.000255,1.862,0.798,4.74e-06
b02_C,_13_,OAI21,0,0,3,2,1,2,2,-0.001,1.862,0.798,4.66e-06
b02_C,_14_,AND2,1,1,2,0,3,1,0,-0.000495,1.33,0.266,4.86e-06
b02_C,_15_,INV,0,0,1,2,1,3,3,0.0,0.798,0.266,4.51e-06
b02_C,_16_,NOR3,0,1,3,1,1,2,1,-7.500000000000562e-05,1.862,0.798,4.56e-06
b02_C,_17_,NOR2,0,0,2,1,2,2,1,-0.00196,1.33,0.532,4.74e-06
b02_C,_18_,OAI22,0,1,4,0,3,1,0,-0.00593,2.394,1.064,5.14e-06
b02_C,_19_,NAND3,0,0,3,1,2,2,1,-0.0013775,1.862,0.798,4.73e-06
b02_C,_20_,AND2,0,1,2,1,2,2,1,0.0003324999999999,1.33,0.266,4.68e-06
b02_C,_21_,OAI21,0,1,3,0,3,1,0,-0.0038175,1.862,0.798,5.03e-06
b03_C,_050_,BUF,0,10,1,10,1,2,10,0.0084103448275862,1.064,0.2659999999999911,3.57e-05
b03_C,_051_,MUX2,0,1,3,0,2,1,0,-0.0011582758620689,2.394,0.5320000000000107,3.6e-05
b03_C,_052_,MUX2,0,1,3,0,2,1,0,-0.0011582758620689,2.394,0.5320000000000107,3.6e-05
b03_C,_053_,INV,0,0,1,2,1,6,37,0.0,0.798,0.2660000000000053,3.56e-05
b03_C,_054_,INV,0,0,1,4,1,6,32,0.0,0.798,0.2660000000000053,3.56e-05
b03_C,_055_,OAI21,0,0,3,2,2,5,30,-0.0005641379310344,1.862,0.7979999999999876,3.6e-05
b03_C,_056_,INV,1,4,1,1,1,6,31,5.862068965523104e-06,0.798,0.2659999999999911,3.56e-05
b03_C,_057_,NOR3,0,0,3,1,1,6,31,-0.0004013793103448,1.862,0.7979999999999734,3.57e-05
